subject,trial_number,Cross_position,Circle_1,Position_1,Color_1,Circle_2,Position_2,Color_2,Position_3,Color_3,Position_4,Color_4,p_confidence,response_color,response_time,angle_1,angle_2,angle_3,angle_4,angle_1_cue,angle_2_cue,angle_3_cue,angle_4_cue
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,2,4,52,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,7,9,64,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,0,2,72,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,6,3,36,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,6,5,48,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,6,7,83,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,7,0,-1,-141.2510282,8,-1,-21.25102816,5,-81.25102816,5,38.74897184,5,7,6,49,-141.2510282,-21.25102816,-81.25102816,38.74897184,-51.25102816,68.74897184,8.748971838,128.7489718
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,3,6,44,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,7,5,46,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,1,3,27,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,0,2,43,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,7,4,59,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,6,1,37,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,4,7,41,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,5,9,42,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,8,0,-1,-163.5067902,1,-1,-43.50679024,5,-103.5067902,4,16.49320976,9,6,8,58,-163.5067902,-43.50679024,-103.5067902,16.49320976,-73.50679024,46.49320976,-13.50679024,106.4932098
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,6,2,56,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,4,7,42,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,0,5,56,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,7,6,33,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,2,4,26,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,2,9,65,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,7,3,30,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,3,8,55,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,9,0,-1,87.04482465,4,-1,207.0448246,4,147.0448246,7,267.0448246,9,7,1,50,87.04482465,207.0448246,147.0448246,267.0448246,177.0448246,297.0448246,237.0448246,357.0448246
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,7,5,58,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,6,7,55,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,6,9,33,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,1,6,55,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,5,4,54,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,1,3,29,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,1,2,38,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
1,10,0,-1,-162.2563106,2,-1,-42.25631062,2,-102.2563106,1,17.74368938,6,2,8,50,-162.2563106,-42.25631062,-102.2563106,17.74368938,-72.25631062,47.74368938,-12.25631062,107.7436894
